Date,Symbol,Close,EMA1,EMA2,MACD,SIGNAL
2018-09-12,QQQ,182.58,182.9506,182.549,0.4016,0.8667
2018-09-13,QQQ,184.53,183.2377,182.7376,0.5001,0.8208
2018-09-14,QQQ,183.99,183.3745,182.8569,0.5176,0.7829
2018-09-17,QQQ,181.34,183.0046,182.7124,0.2922,0.7216
2018-09-18,QQQ,182.84,182.9747,182.7246,0.2501,0.6627
2018-09-19,QQQ,182.7,182.9247,182.7222,0.2025,0.6051
2018-09-20,QQQ,184.72,183.2511,182.9125,0.3386,0.5718
2018-09-21,QQQ,183.71,183.3346,182.9885,0.3461,0.5436
2018-09-24,QQQ,183.89,183.4356,183.0743,0.3612,0.5208
2018-09-25,QQQ,184.14,183.5636,183.1758,0.3878,0.5042
2018-09-26,QQQ,184.27,183.6921,183.28,0.412,0.4927
2018-09-27,QQQ,185.83,184.0808,183.5229,0.5579,0.5008
2018-09-28,QQQ,185.79,184.3915,183.7388,0.6528,0.5198
2018-10-01,QQQ,186.17,184.7149,183.9703,0.7446,0.5479
2018-10-02,QQQ,185.75,184.9031,184.1398,0.7633,0.5748
2018-10-03,QQQ,185.95,185.0934,184.3122,0.7812,0.6006
2018-10-04,QQQ,182.38,184.6001,184.1282,0.4719,0.5845
2018-10-05,QQQ,180.15,183.791,183.7493,0.0417,0.5167
2018-10-08,QQQ,179.05,182.929,183.3018,-0.3728,0.4055
2018-10-09,QQQ,179.63,182.3292,182.9521,-0.6229,0.2769
2018-10-10,QQQ,171.73,180.4021,181.8833,-1.4813,0.0572
2018-10-11,QQQ,169.6,178.438,180.7135,-2.2754,-0.2344
2018-10-12,QQQ,174.32,177.6893,180.1046,-2.4153,-0.507
2018-10-15,QQQ,172.21,176.6931,179.3527,-2.6596,-0.7761
2018-10-16,QQQ,177.22,176.7889,179.1496,-2.3607,-0.9742
2018-10-17,QQQ,177.29,176.88,178.9725,-2.0925,-1.114
2018-10-18,QQQ,173.18,176.2073,178.4208,-2.2136,-1.2514
